#{"t_start": 1700577337.572345, "env_id": "None"}
r,l,t
281.760881,303,0.973937
697.203079,318,1.804334
1454.76748,1001,3.912461
119.901249,68,4.268861
1209.207984,579,5.57803
575.247344,668,7.0738
45.505627,105,7.488447
414.569505,196,8.07106
1286.414072,735,9.676237
32.264702,28,9.98205
473.924242,420,11.881452
1184.904001,778,13.571489
771.625242,858,15.423099
698.485213,529,16.648714
147.650379,109,17.0792
229.451425,549,18.346067
1770.466595,931,20.348133
2008.074502,761,23.233053
85.229392,110,23.664849
1068.281026,861,25.51206
235.9379,139,26.007865
1980.390474,1001,28.139456
1389.813042,953,30.178973
585.399572,426,32.010163
30.138701,112,32.442455
1249.482149,1001,34.554325
1547.04024,877,36.504481
888.450725,704,38.052787
1355.426767,703,39.607905
21.06344,50,39.929637
484.381373,767,42.385498
27.842191,18,42.638287
366.450453,316,43.459654
852.150307,376,44.394549
1939.200563,1001,46.544688
2587.11764,926,48.534108
791.167643,1001,50.728179
22.811168,81,51.10426
1047.069046,750,53.580463
58.662346,88,53.963303
92.371945,51,54.276981
745.171154,447,55.361079
25.862555,50,55.677913
45.55178,34,55.953953
33.44052,34,56.23856
170.832627,188,56.815922
1921.3313,1001,58.991028
204.705269,277,59.776991
1033.737939,618,61.201466
147.267209,104,61.614466
117.674619,154,62.12631
1009.224722,618,64.362853
360.252869,275,65.096317
296.63123,150,65.604871
163.020221,316,66.412016
531.31594,509,67.575936
948.911184,502,68.738978
377.466047,418,69.754265
57.12982,166,70.276229
157.447452,131,70.738096
475.777799,183,71.305244
1282.400157,889,73.174823
185.661032,53,73.491849
1019.778381,412,75.258785
120.458519,159,75.770927
123.824422,191,76.369602
200.724238,216,77.009623
1884.703333,1001,79.206587
295.466604,248,79.920257
2070.160766,1001,82.063503
213.426353,178,82.619758
795.587905,482,83.749008
453.859018,314,84.561868
1632.805223,1001,87.558726
68.234735,88,87.942866
757.67719,488,89.071055
187.7149,182,89.629883
1409.596049,801,91.352401
424.981687,231,91.989785
713.7728,553,93.227717
1468.749705,565,94.518575
1230.844716,715,96.907461
1170.969153,640,98.396477
836.23985,482,99.524778
713.124636,466,100.610286
1251.244564,666,102.079214
68.400922,64,102.419676
606.983711,265,103.129977
352.214893,168,103.66787
388.57985,311,104.461652
2288.898114,812,107.017388
1774.187591,846,108.821046
353.649887,286,109.577404
486.971252,419,110.5775
27.879397,47,110.889132
2498.762964,822,112.677576
310.778423,504,113.827977
356.873999,294,114.595633
373.336513,184,115.165676
659.482525,251,115.90579
1006.030348,347,117.610471
871.291453,521,118.820024
275.096475,116,119.266471
1294.089873,330,120.129503
613.844076,371,121.121842
1396.128188,531,122.347704
2111.111699,1001,124.450643
56.795611,98,124.850653
649.333591,478,125.955092
267.747997,95,126.353896
1066.154066,974,129.159169
143.807311,153,129.664176
153.281892,316,130.640224
301.030868,201,131.23256
1163.617133,804,132.944994
643.581964,342,134.003714
200.924613,86,134.423229
260.80198,275,135.169927
64.942313,63,135.512564
126.056177,240,136.301452
192.99688,121,136.753266
1107.4294,501,137.91125
2321.994431,1001,140.81526
118.371408,159,141.324437
255.366976,192,141.903843
469.640794,341,142.748412
572.059902,367,143.793742
1125.043699,658,145.232238
2475.877678,1000,147.724744
427.484614,433,148.802263
225.929283,96,149.201597
2000.448449,808,151.896811
194.254492,107,152.324655
1022.97106,386,153.278391
1986.759226,1001,155.424616
1168.118943,374,156.367903
356.000108,304,157.169397
1020.055919,637,237.295569
159.268757,74,237.656474
1303.566721,457,238.742116
140.073578,162,239.325782
2092.924038,1001,242.22177
280.842474,281,242.982615
552.940786,153,243.482664
581.97587,271,244.197145
124.991234,109,244.609384
555.694895,328,245.430799
1926.66663,1001,247.513175
1273.005798,606,248.860678
448.718628,173,249.4001
399.723324,433,251.181397
1958.546275,799,252.886112
273.711739,100,253.28459
2383.160748,985,255.387041
1405.607144,789,257.200497
2063.516761,1001,259.878567
1857.667521,773,262.40875
227.476503,159,262.93361
2433.242648,971,265.016998
3074.334489,1001,267.236286
328.621248,384,268.184416
2067.236981,803,269.976817
1715.914161,788,272.488283
2054.679295,672,273.994494
1008.097962,351,274.867508
964.367834,803,276.591258
2963.875458,824,278.33955
1873.390175,724,279.923028
76.336652,176,280.464819
2579.473105,869,283.067338
961.103715,761,284.680288
252.382608,407,285.641432
1468.595182,837,326.701787
431.085679,337,327.603468
523.659489,379,328.538723
51.793252,61,328.87373
923.436022,490,330.024794
486.89688,360,331.678774
1788.891691,1001,333.747433
1924.03048,1001,335.997861
1679.393423,711,337.563165
78.504692,49,337.886007
338.75186,220,338.573642
103.345497,47,338.883599
1186.224226,1001,341.801979
666.46786,395,342.76386
646.208338,309,343.567459
911.677584,493,344.708525
1254.695125,570,346.008891
267.417477,288,346.753545
1812.759885,926,348.67999
2160.133407,901,350.593266
460.12623,278,352.099682
1752.95337,1001,354.205387
1727.537476,740,355.857643
85.851829,78,356.260699
2168.246322,673,357.741355
2216.141925,1001,359.862445
220.068153,183,360.425391
214.450192,223,361.878265
818.821337,678,363.366854
1058.780463,438,364.400937
47.991595,45,364.693765
2104.879782,621,366.071325
114.969158,156,366.572716
187.446395,228,367.209424
2299.014095,811,368.940114
217.188835,85,369.319134
629.530839,186,369.876246
1552.36462,919,372.593478
1822.946202,749,374.200045
2623.626276,969,376.221761
151.591682,138,376.686033
669.405963,437,377.725708
267.038873,354,378.603423
1080.127884,430,379.649713
1569.301813,554,380.896633
1525.15236,587,382.979709
1771.039044,447,384.027163
430.063927,199,384.607057
820.383151,427,385.617608
843.691679,250,386.302833
237.17675,126,386.755184
1528.88479,624,388.13854
794.689039,293,388.903618
2007.097344,660,390.368376
2392.893515,1001,393.271739
943.528654,384,394.204317
490.707204,181,394.754378
2676.834976,1001,396.819554
1967.062054,1001,398.921908
1537.721725,486,400.06306
1385.435088,527,401.261524
1388.454216,452,403.159424
672.331835,248,403.824116
313.054275,150,404.311797
2188.306502,911,406.25621
1274.89518,485,407.361364
2060.881214,832,409.125282
610.96525,292,409.884584
199.007182,155,410.382549
910.45318,407,411.356218
2699.391139,1001,414.167854
160.343294,49,414.477416
539.127619,193,415.040053
1121.322719,340,415.884869
1853.903974,694,417.384914
618.52688,288,418.129405
32.234189,40,418.422207
294.559665,161,418.938621
734.685413,226,419.568529
403.59008,134,420.029855
2313.700185,954,422.046516
22.499381,138,422.526113
2917.609506,864,425.171356
2233.70789,735,426.792244
753.657633,363,427.702845
1037.102482,666,429.186493
3067.746321,1001,431.342075
1937.795257,741,432.946759
258.937663,211,434.50962
1749.06879,754,436.18373
1702.81895,695,437.702376
229.682971,132,438.178665
57.05406,213,438.815899
1189.127772,360,439.725069
115.403438,67,440.169983
190.028497,49,440.799304
3796.496063,1001,443.073573
458.920975,284,443.824421
2962.323128,904,446.665343
362.175454,212,447.287131
