#{"t_start": 1700581233.034122, "env_id": "None"}
r,l,t
2.43245,564,1.457543
1.032214,1001,3.543069
0.102003,297,4.300931
0.105499,86,4.674081
0.855977,303,5.4484
0.653226,291,6.198384
0.49832,318,7.007665
0.07594,399,7.953892
0.862999,477,9.057764
0.16166,1001,12.010463
0.107716,332,12.82627
0.373266,405,13.784674
4.988417,384,14.715736
0.430842,217,15.335775
0.662833,342,16.174838
4.162244,154,16.69503
2.09346,842,18.452965
0.05286,252,19.13403
0.051423,36,19.423562
0.302054,260,20.123871
0.655095,92,20.511673
4.295352,158,21.905908
0.393417,786,23.581718
2.389187,154,24.088456
2.411549,236,24.740876
1.367751,596,26.055168
1.728839,251,26.736763
0.745535,80,27.096171
0.339139,263,27.791464
0.894641,261,28.493341
0.694486,1001,30.543799
1.62852,1001,33.493722
1.582491,142,33.963827
0.907072,152,34.453833
0.346168,48,34.750885
0.218971,625,36.127348
0.250061,169,36.652997
0.755182,640,38.073173
1.060246,352,38.93796
1.58865,365,39.82079
0.063384,653,41.243408
1.065634,707,43.663048
0.661593,310,44.447456
1.15533,78,44.805467
0.417479,125,45.242218
2.106367,232,45.878193
0.208326,91,46.256051
0.215534,844,48.032361
0.282597,192,48.5953
0.15179,87,48.970288
1.113912,505,50.136998
0.472789,568,51.411694
0.096511,317,52.204813
1.069807,708,54.587652
1.900205,293,55.341257
6.401383,1001,57.398785
0.837351,476,58.489793
3.178871,883,60.344745
4.679608,342,61.189437
1.207693,122,61.6276
3.482547,774,64.159876
0.75048,849,65.951334
6.272607,495,67.083197
1.377424,1001,69.132652
2.058596,780,70.800142
0.010021,1001,73.825555
0.67932,1001,75.902294
0.228674,263,76.654337
0.870963,153,77.162157
1.158732,870,78.970187
2.970654,71,79.322138
0.440943,309,80.107211
0.372783,291,80.861046
0.194902,433,81.883494
0.230331,160,82.387742
2.02004,250,83.062057
6.326636,1001,86.038998
0.401121,1001,88.090588
1.040861,1001,90.147542
0.226667,202,90.739888
1.576116,666,92.172763
2.072572,705,94.585035
0.21506,484,95.687743
0.662881,65,96.016136
0.68218,112,96.432079
0.365752,60,96.759241
0.975122,617,98.112706
0.501497,93,98.506451
2.998628,107,98.91515
0.119982,331,99.736208
0.498431,189,100.299042
2.510117,878,102.128111
6.592244,156,102.631418
0.318238,636,104.008047
0.133813,141,105.387473
0.653668,533,106.583679
0.530991,1001,108.634608
1.609721,1001,110.718277
0.351424,159,111.223339
4.025808,765,112.866746
2.429508,54,113.183881
0.963483,1001,116.184436
0.198,718,117.734311
3.546402,505,118.884652
0.033319,951,120.861958
8.001816,857,122.659803
6.082271,146,123.139865
6.283735,1001,126.13109
1.665969,955,128.123409
0.805013,55,128.450433
5.502557,1001,130.524077
1.289487,239,131.192168
1.01448,255,131.87832
0.059251,262,132.573456
2.223604,429,133.577963
5.903293,686,136.068445
3.25487,1001,138.175547
8.39691,893,140.031432
0.44956,290,140.783432
0.826236,41,141.076854
1.377713,1001,143.134819
0.303721,1001,146.180295
3.31634,1001,148.231379
3.090632,795,149.925524
0.165129,70,150.269478
7.025285,1001,152.323288
2.031446,1001,155.297304
4.902925,1001,157.360846
0.96387,501,158.515644
5.826907,1001,160.579738
1.550383,155,161.077807
1.373406,355,161.945888
0.254202,651,163.368536
3.693417,607,165.620415
3.535915,1001,167.661871
1.1873,577,168.930679
0.88142,661,170.354638
3.901361,1001,172.427338
0.573207,479,174.456295
0.198425,213,175.061616
0.186315,569,176.321642
0.676338,820,178.06252
3.385767,206,178.655562
3.205464,1000,180.721597
6.057112,227,181.351037
0.930761,229,181.988081
6.453633,843,184.67766
0.404998,816,186.384896
3.348214,361,187.277492
1.628773,462,188.337507
0.223306,777,189.993153
8.059418,511,191.167494
7.491087,702,192.68406
0.590012,190,193.251027
7.93978,1001,196.306705
9.715824,1001,198.37526
7.022621,1001,200.426987
19.213703,1001,202.479372
1.1848,462,204.470243
1.367805,856,206.251698
2.899238,1001,208.325492
5.223636,879,210.161336
0.379209,460,211.224123
13.438289,538,212.427382
9.475142,125,212.865943
18.240018,1001,215.873296
1.10272,1001,217.929925
1.068691,217,218.541775
9.524991,187,219.100149
6.638681,735,220.667413
1.217831,583,221.96189
2.440933,180,222.505055
2.317249,662,224.966535
2.016993,23,225.221528
0.261205,118,225.658877
10.487653,544,226.873581
6.857275,991,228.965958
3.803355,161,229.470564
1.633204,1001,231.528797
1.201111,264,232.224002
0.033729,1001,235.312655
0.292147,559,236.57244
1.520748,173,237.113409
0.008607,224,237.739669
0.699211,70,238.092992
3.851209,1001,240.177761
7.444582,381,241.166855
0.807853,64,241.520206
30.595907,1001,243.639282
8.758568,568,245.901502
7.93606,346,246.789913
2.1458,733,248.404025
14.553711,1001,250.520517
10.518646,159,251.030569
1.10899,512,252.198224
9.502811,905,254.154091
0.532002,51,254.484308
1.970656,1001,257.626756
5.08464,1001,259.763638
3.653353,447,260.821053
5.506167,1001,262.907395
2.818319,1001,265.957935
2.950329,900,267.911579
1.585856,289,268.666955
0.391336,1001,270.843497
7.919823,286,271.649189
10.324894,407,272.657588
1.230556,81,273.044087
0.580354,149,273.553855
9.260065,1001,276.658814
11.592687,984,278.722844
0.419094,142,279.199482
3.925324,469,280.296864
7.724151,773,281.948597
6.543439,1001,284.029481
0.629542,363,284.925742
11.877663,1001,287.998603
1.389724,230,288.660815
0.053132,282,289.40915
1.058775,146,289.902216
7.599609,319,290.717757
10.546532,1001,292.790853
0.51049,186,293.356623
11.289556,310,294.147054
0.158161,664,295.612142
3.812314,685,298.11847
5.983362,694,299.625526
0.492419,552,300.875349
3.552966,410,301.866224
27.225026,873,303.682656
11.029746,1001,306.944682
21.833404,1001,309.292233
17.825932,1001,311.558538
16.590555,1001,313.786998
0.29995,1001,316.96158
4.815428,493,318.144418
3.044752,226,318.795184
14.518377,1001,320.899758
22.144226,814,322.619524
0.615367,215,323.237613
20.591521,1001,325.32319
2.21319,1001,328.4096
3.856528,600,329.769007
0.437514,550,331.037508
1.705113,1001,333.144206
2.674027,920,335.068582
0.256608,122,335.520513
31.758441,1001,338.480269
37.831511,1001,340.550525
4.914231,1001,342.637397
8.649627,1001,344.734991
24.908174,1001,347.818281
11.76095,919,349.756351
10.828811,1001,351.836762
4.671253,92,352.222936
18.222067,560,353.480067
32.74737,1001,356.529017
20.484171,1001,358.610304
22.147863,794,360.314429
6.629286,1001,362.393424
1.239094,65,362.72735
27.947837,1001,364.79718
41.71721,1001,367.806048
7.85257,758,369.456356
22.171097,1001,371.564969
1.419597,1001,373.736436
42.920429,789,376.336604
6.972595,643,377.798362
39.659641,1001,379.87295
9.857014,330,380.695022
0.921802,544,381.926955
17.718401,1001,383.985387
14.6079,1001,387.08478
2.857329,1001,389.193555
25.537015,1001,391.325175
8.317763,566,392.601089
8.205307,1001,395.760445
0.531585,196,396.348527
21.042253,720,397.956921
35.704942,1001,400.052544
10.366831,1001,402.186678
13.200973,1001,405.458533
52.611615,546,406.781819
3.946675,1001,408.988549
20.361188,1001,411.202868
38.204235,1001,413.373945
4.214485,394,414.328047
26.005165,1001,417.469362
18.721683,218,418.088158
20.449627,1001,420.152255
1.762654,242,420.820718
20.678785,1001,422.90335
16.18996,1001,425.940008
27.932167,1001,427.998167
31.10112,1001,430.064214
22.370185,1001,432.124584
17.665011,1001,435.159291
6.866423,720,436.707614
42.836153,1001,438.771408
13.7176,696,440.282692
8.493352,501,441.438644
10.203828,1001,444.416545
11.205942,229,445.057128
28.529345,833,446.80155
19.702242,1001,448.874071
8.791001,247,449.547306
6.824486,710,451.083189
16.178924,868,452.901492
2.685101,273,454.584582
26.681053,1001,456.645057
9.629291,650,458.063385
51.722027,1001,460.203784
1.167087,263,460.908602
7.008037,516,462.083878
39.24971,815,464.840964
47.314253,1001,466.915382
42.187591,1001,469.024946
35.263929,698,470.557714
2.143349,126,471.010254
15.915318,1001,473.117214
8.681803,832,475.980573
13.021022,1001,478.067913
42.684396,872,479.911554
5.680995,125,480.359699
25.827192,1001,482.432818
7.494428,965,485.510524
23.655977,767,487.198046
4.957786,1001,489.305955
4.014041,268,490.05336
33.318356,911,491.987664
5.260001,218,492.624906
9.946326,505,494.698039
3.227192,552,495.957754
9.67267,704,497.478248
22.666475,733,499.055699
46.427339,1001,501.191894
2.150879,29,501.472387
4.147054,1001,504.527416
17.346716,1001,506.657989
36.38778,1001,508.737294
8.825321,416,509.752833
9.087108,131,510.215777
61.531284,764,511.842617
19.373461,1001,514.937465
9.277105,1001,517.017338
61.108483,1001,519.103365
42.982837,1001,521.207742
15.95968,1001,524.384246
18.205489,1001,526.475689
22.902136,1001,528.595594
10.399779,221,529.234202
34.291893,1001,531.333155
14.423927,1001,534.428051
10.04729,98,534.828992
2.309604,223,535.472089
11.467621,180,536.023926
38.774947,405,536.998083
29.962372,1001,539.081787
13.60654,189,539.657051
1.016647,89,540.048051
12.852705,329,540.876989
15.061675,352,541.739066
29.118254,1001,544.754576
22.921025,1001,546.820895
34.762565,1001,548.925304
59.265735,1001,551.106027
18.860033,707,552.735135
30.220529,1001,555.94589
11.673862,389,556.948643
2.534623,33,557.251727
37.429827,1001,559.494177
29.991545,1001,561.720873
7.859092,216,562.390668
8.589006,616,563.816315
12.885074,392,565.83658
44.050305,867,567.680134
8.990297,77,568.053603
14.361645,149,568.540442
2.045027,332,569.36826
4.160007,236,570.02031
2.879245,647,571.446564
13.905576,778,573.113963
4.023097,376,574.030763
8.389742,378,575.915149
14.927234,666,577.378709
6.782403,372,578.29708
5.38667,127,578.753267
34.910222,1001,580.822287
38.3691,324,581.634292
1.594438,202,582.220991
39.43839,1001,584.303467
32.915784,1001,587.332402
47.93304,833,589.107463
15.35285,761,590.748359
24.874844,1001,592.878541
14.287692,232,593.568577
19.260655,1001,596.761117
31.56819,1001,598.937681
8.960964,60,599.303602
17.607652,598,600.705463
20.437651,915,602.687717
4.843271,54,603.02405
13.893189,473,604.163825
0.803153,58,604.506324
45.297707,1001,607.639316
12.894616,292,608.418638
19.968883,1001,610.474397
46.967307,986,612.568857
18.74345,183,613.181648
52.823872,832,614.981983
45.061457,823,617.755914
26.749372,316,618.637066
10.51829,159,619.295894
10.518241,184,619.878277
17.350427,351,620.790429
24.682914,837,622.629896
38.630225,743,624.261694
12.303353,366,625.196131
30.846479,271,625.919021
0.486975,86,626.296198
31.090648,536,628.515369
24.975914,877,630.358184
21.076722,1001,632.460788
3.71469,321,633.290941
12.935148,333,634.12703
5.903306,186,634.680575
29.692629,1001,636.771152
28.919015,884,639.735643
35.217664,658,641.265794
32.864221,544,642.560645
14.449821,233,643.251623
26.781634,613,644.709496
17.352592,294,645.497024
25.920884,602,646.84365
29.283433,344,647.76216
2.510445,183,649.430246
26.610066,1001,651.524773
54.739103,1001,653.649418
47.876994,1001,655.767762
12.512062,387,656.722596
95.482829,860,659.517331
52.491687,1001,661.756648
18.255661,1001,663.85725
12.556352,799,665.669499
36.822751,838,667.623103
26.398574,1001,670.798631
51.268272,941,672.846375
28.881212,1001,674.945318
45.070734,835,676.754833
31.251109,982,679.77529
35.974302,914,681.799454
16.644812,119,682.261214
2.887018,203,682.885427
8.134063,379,683.82867
17.635676,250,684.504232
23.164875,1001,686.590419
24.555939,648,688.029423
32.574454,704,690.679788
18.408062,293,691.465092
31.339036,1001,693.584859
18.630822,440,694.65205
8.172109,73,695.001674
22.09905,831,696.739269
39.107837,755,698.422435
56.473729,1001,701.67819
12.206399,333,702.534876
47.359964,1001,704.623592
35.637792,792,706.290754
10.282803,174,706.833691
38.379735,1001,709.983815
29.255637,571,711.283159
32.742998,863,713.128808
16.523364,840,714.905373
60.452967,1001,716.999937
25.015651,209,717.60525
31.729755,1001,720.749454
14.603339,1001,722.913001
51.1948,454,723.960904
20.525224,543,725.201617
43.885598,1001,727.300784
9.931856,68,727.655432
52.689278,1001,730.754995
23.145163,576,732.053078
14.513313,338,732.893804
28.302627,1001,734.98692
20.954673,219,735.634467
8.967459,529,736.864372
31.324467,926,739.809198
